price,variable,old_contribution,new_contribution,required_volume_uplift
39,0,32.13044745762712,28.91740271186441,0.11111111111111116
39,10,22.13044745762712,18.91740271186441,0.16984597699279247
39,30,2.1304474576271204,-1.0825972881355916,
39,60,-27.86955254237288,-31.08259728813559,
79,0,65.08475254237288,58.57627728813561,0.11111111111111094
79,10,55.08475254237288,48.57627728813561,0.1339846447193047
79,30,35.08475254237288,28.576277288135607,0.22775798221063193
79,60,5.0847525423728825,-1.423722711864393,
89,0,73.32332881355933,65.9909959322034,0.11111111111111094
89,10,63.32332881355933,55.990995932203404,0.1309555716821731
89,30,43.32332881355933,35.990995932203404,0.20372686810801
89,60,13.323328813559328,5.990995932203404,1.2238921482056817
99,0,81.56190508474577,73.4057145762712,0.11111111111111116
99,10,71.56190508474577,63.405714576271194,0.12863494344288862
99,30,51.561905084745774,43.405714576271194,0.1879059148800044
99,60,21.561905084745774,13.405714576271194,0.6084114697557008
399,0,328.719193220339,295.8472738983051,0.11111111111111094
399,10,318.719193220339,285.8472738983051,0.11499819072519335
399,30,298.719193220339,265.8472738983051,0.12364963853121336
399,60,268.719193220339,235.8472738983051,0.13937799143783147
