store,month,reviews,rating,low_share,tennis_mentions
Android TV,2025-01,2,2.5,0.5,0
Android TV,2025-02,3,1.3333333333333333,1.0,0
Android TV,2025-03,4,1.0,1.0,0
Android TV,2025-04,2,1.0,1.0,0
Android TV,2025-05,3,1.0,1.0,0
Android TV,2025-06,1,2.0,1.0,0
Android TV,2025-07,2,1.0,1.0,0
Android TV,2025-08,2,1.0,1.0,0
Android TV,2025-09,8,1.625,0.875,0
Android TV,2025-10,7,2.4285714285714284,0.5714285714285714,0
Android TV,2025-11,2,2.5,0.5,0
Android TV,2026-01,2,1.0,1.0,0
Android TV,2026-02,3,2.6666666666666665,0.6666666666666666,0
Android TV,2026-03,1,2.0,1.0,0
Android TV,2026-04,4,2.0,0.75,0
Android TV,2026-05,3,2.6666666666666665,0.6666666666666666,0
Android TV,2026-06,4,2.0,0.75,0
Android TV,2026-07,9,2.3333333333333335,0.6666666666666666,0
Android TV,2026-08,2,1.0,1.0,0
Android mobile,2025-01,477,3.947589098532495,0.2180293501048218,0
Android mobile,2025-02,563,3.7921847246891653,0.26287744227353466,0
Android mobile,2025-03,621,3.642512077294686,0.29790660225442833,0
Android mobile,2025-04,670,3.7761194029850746,0.2701492537313433,0
Android mobile,2025-05,528,3.6571969696969697,0.30303030303030304,3
Android mobile,2025-06,610,4.00983606557377,0.20491803278688525,0
Android mobile,2025-07,907,3.866593164277839,0.2414553472987872,0
Android mobile,2025-08,853,3.779601406799531,0.25908558030480655,0
Android mobile,2025-09,4320,3.2800925925925926,0.39837962962962964,0
Android mobile,2025-10,515,3.5242718446601944,0.3378640776699029,0
Android mobile,2025-11,865,3.8797687861271677,0.24393063583815028,0
Android mobile,2025-12,210,3.6095238095238096,0.3142857142857143,0
Android mobile,2026-01,87,3.2528735632183907,0.40229885057471265,0
Android mobile,2026-02,539,3.536178107606679,0.3246753246753247,0
Android mobile,2026-03,636,3.2342767295597485,0.39937106918238996,1
Android mobile,2026-04,324,2.537037037037037,0.5895061728395061,1
Android mobile,2026-05,375,2.8826666666666667,0.512,3
Android mobile,2026-06,210,3.5761904761904764,0.32857142857142857,0
Android mobile,2026-07,1030,3.383495145631068,0.3737864077669903,0
Android mobile,2026-08,206,3.6990291262135924,0.2815533980582524,1
Android mobile,2026-09,119,3.8739495798319328,0.24369747899159663,0
iOS,2025-08,28,1.9642857142857142,0.6785714285714286,0
iOS,2025-09,145,1.4,0.903448275862069,0
iOS,2025-10,33,1.878787878787879,0.7272727272727273,0
iOS,2025-11,23,2.3043478260869565,0.6086956521739131,0
iOS,2025-12,43,1.627906976744186,0.8604651162790697,0
iOS,2026-01,7,2.2857142857142856,0.7142857142857143,0
iOS,2026-02,20,2.0,0.75,0
iOS,2026-03,40,1.6,0.8,0
iOS,2026-04,42,1.1428571428571428,0.9523809523809523,2
iOS,2026-05,52,1.2115384615384615,0.9230769230769231,2
iOS,2026-06,19,2.4210526315789473,0.631578947368421,0
iOS,2026-07,33,2.242424242424242,0.696969696969697,0
iOS,2026-08,9,1.5555555555555556,0.8888888888888888,0
iOS,2026-09,6,1.1666666666666667,1.0,0
