event,HomeTeam,AwayTeam,start_utc,start_ist,sport,source_id
Sevilla vs Vallecano,Sevilla,Vallecano,2026-08-15 19:30:00+00:00,2026-08-16 01:00:00+05:30,La Liga,v4_laliga_2627
Santander vs Villarreal,Santander,Villarreal,2026-08-16 15:00:00+00:00,2026-08-16 20:30:00+05:30,La Liga,v4_laliga_2627
Espanol vs Levante,Espanol,Levante,2026-08-16 17:00:00+00:00,2026-08-16 22:30:00+05:30,La Liga,v4_laliga_2627
La Coruna vs Elche,La Coruna,Elche,2026-08-17 19:00:00+00:00,2026-08-18 00:30:00+05:30,La Liga,v4_laliga_2627
Ath Madrid vs Malaga,Ath Madrid,Malaga,2026-08-19 19:00:00+00:00,2026-08-20 00:30:00+05:30,La Liga,v4_laliga_2627
Vallecano vs Alaves,Vallecano,Alaves,2026-08-20 19:00:00+00:00,2026-08-21 00:30:00+05:30,La Liga,v4_laliga_2627
Betis vs Sociedad,Betis,Sociedad,2026-08-21 19:00:00+00:00,2026-08-22 00:30:00+05:30,La Liga,v4_laliga_2627
Ath Bilbao vs Sevilla,Ath Bilbao,Sevilla,2026-08-22 15:00:00+00:00,2026-08-22 20:30:00+05:30,La Liga,v4_laliga_2627
Valencia vs Celta,Valencia,Celta,2026-08-22 17:30:00+00:00,2026-08-22 23:00:00+05:30,La Liga,v4_laliga_2627
Espanol vs Real Madrid,Espanol,Real Madrid,2026-08-22 19:30:00+00:00,2026-08-23 01:00:00+05:30,La Liga,v4_laliga_2627
Ath Madrid vs Villarreal,Ath Madrid,Villarreal,2026-08-23 15:00:00+00:00,2026-08-23 20:30:00+05:30,La Liga,v4_laliga_2627
Getafe vs Santander,Getafe,Santander,2026-08-23 17:30:00+00:00,2026-08-23 23:00:00+05:30,La Liga,v4_laliga_2627
Elche vs Barcelona,Elche,Barcelona,2026-08-23 19:30:00+00:00,2026-08-24 01:00:00+05:30,La Liga,v4_laliga_2627
Osasuna vs Levante,Osasuna,Levante,2026-08-24 17:30:00+00:00,2026-08-24 23:00:00+05:30,La Liga,v4_laliga_2627
Malaga vs La Coruna,Malaga,La Coruna,2026-08-24 19:30:00+00:00,2026-08-25 01:00:00+05:30,La Liga,v4_laliga_2627
Valencia vs Betis,Valencia,Betis,2026-08-25 19:00:00+00:00,2026-08-26 00:30:00+05:30,La Liga,v4_laliga_2627
Real Madrid vs Sociedad,Real Madrid,Sociedad,2026-08-26 19:00:00+00:00,2026-08-27 00:30:00+05:30,La Liga,v4_laliga_2627
Celta vs Osasuna,Celta,Osasuna,2026-08-27 18:30:00+00:00,2026-08-28 00:00:00+05:30,La Liga,v4_laliga_2627
Barcelona vs Ath Bilbao,Barcelona,Ath Bilbao,2026-08-27 19:00:00+00:00,2026-08-28 00:30:00+05:30,La Liga,v4_laliga_2627
Santander vs Elche,Santander,Elche,2026-08-28 17:00:00+00:00,2026-08-28 22:30:00+05:30,La Liga,v4_laliga_2627
Alaves vs Villarreal,Alaves,Villarreal,2026-08-28 19:30:00+00:00,2026-08-29 01:00:00+05:30,La Liga,v4_laliga_2627
Levante vs Betis,Levante,Betis,2026-08-29 15:00:00+00:00,2026-08-29 20:30:00+05:30,La Liga,v4_laliga_2627
Sociedad vs Espanol,Sociedad,Espanol,2026-08-29 17:00:00+00:00,2026-08-29 22:30:00+05:30,La Liga,v4_laliga_2627
Sevilla vs Ath Madrid,Sevilla,Ath Madrid,2026-08-29 19:30:00+00:00,2026-08-30 01:00:00+05:30,La Liga,v4_laliga_2627
Real Madrid vs Malaga,Real Madrid,Malaga,2026-08-30 15:00:00+00:00,2026-08-30 20:30:00+05:30,La Liga,v4_laliga_2627
La Coruna vs Valencia,La Coruna,Valencia,2026-08-30 17:30:00+00:00,2026-08-30 23:00:00+05:30,La Liga,v4_laliga_2627
Celta vs Ath Bilbao,Celta,Ath Bilbao,2026-08-30 19:30:00+00:00,2026-08-31 01:00:00+05:30,La Liga,v4_laliga_2627
Osasuna vs Getafe,Osasuna,Getafe,2026-08-31 17:30:00+00:00,2026-08-31 23:00:00+05:30,La Liga,v4_laliga_2627
Barcelona vs Vallecano,Barcelona,Vallecano,2026-08-31 19:30:00+00:00,2026-09-01 01:00:00+05:30,La Liga,v4_laliga_2627
Sociedad vs Celta,Sociedad,Celta,2026-09-03 19:00:00+00:00,2026-09-04 00:30:00+05:30,La Liga,v4_laliga_2627
Betis vs Real Madrid,Betis,Real Madrid,2026-09-04 19:00:00+00:00,2026-09-05 00:30:00+05:30,La Liga,v4_laliga_2627
Ath Bilbao vs Ath Madrid,Ath Bilbao,Ath Madrid,2026-09-05 14:15:00+00:00,2026-09-05 19:45:00+05:30,La Liga,v4_laliga_2627
Vallecano vs Santander,Vallecano,Santander,2026-09-05 16:30:00+00:00,2026-09-05 22:00:00+05:30,La Liga,v4_laliga_2627
Villarreal vs La Coruna,Villarreal,La Coruna,2026-09-05 19:00:00+00:00,2026-09-06 00:30:00+05:30,La Liga,v4_laliga_2627
Valencia vs Barcelona,Valencia,Barcelona,2026-09-06 14:15:00+00:00,2026-09-06 19:45:00+05:30,La Liga,v4_laliga_2627
Alaves vs Osasuna,Alaves,Osasuna,2026-09-06 16:30:00+00:00,2026-09-06 22:00:00+05:30,La Liga,v4_laliga_2627
Malaga vs Levante,Malaga,Levante,2026-09-06 16:30:00+00:00,2026-09-06 22:00:00+05:30,La Liga,v4_laliga_2627
Espanol vs Sevilla,Espanol,Sevilla,2026-09-06 19:00:00+00:00,2026-09-07 00:30:00+05:30,La Liga,v4_laliga_2627
Getafe vs Celta,Getafe,Celta,2026-09-07 17:00:00+00:00,2026-09-07 22:30:00+05:30,La Liga,v4_laliga_2627
Elche vs Sociedad,Elche,Sociedad,2026-09-07 19:30:00+00:00,2026-09-08 01:00:00+05:30,La Liga,v4_laliga_2627
